[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:27:01.944Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:02.174Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:02.460Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:02.600Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:02.604Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:02.821Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:03.077Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:03.312Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:03.316Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:03.547Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:03.813Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:04.064Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:04.069Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:04.316Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:04.585Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:04.767Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:04.771Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:05.009Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:05.395Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:05.751Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:05.755Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:06.129Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:06.904Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:07.300Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:07.307Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:07.653Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:07.692Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:07.698Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:12.045Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:12.051Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:12.098Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 0.00 ms
[2025-01-19T12:27:19.378Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:19.382Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:21.925Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:21.934Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:21.952Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 4.00 ms
[2025-01-19T12:27:21.959Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:22.018Z] INFO: MT: GET | PA: /static/profile/64e9ba8eaeba5be8be479d00.https://universitykart.b-cdn.net//Content/upload/admin/xgguhkwb.zwq.jpg | AU: Unauthenticated | ST: 404 | RT: 0.00 ms
[2025-01-19T12:27:24.447Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 7.00 ms
[2025-01-19T12:32:05.710Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:32:05.714Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:33:29.276Z] INFO: MT: POST | PA: /maintainance | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:33:29.271Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
